Author short Names;authors;articles
Cuzzocrea, A;Cuzzocrea, Alfredo;Big Data Lakes: Models, Frameworks, and Techniques
"He, J; Wang, CY; Chen, HN";"He, Jing; Wang, Chuyi; Chen, Haonan";New Engine to Promote Big Data Industry Upgrade
"Zhang, AR; Lv, N";"Zhang, Airong; Lv, Na";Research on the Impact of Big Data Capabilities on Government's Smart Service Performance: Empirical Evidence From China
"Meghisan-Toma, GM; Meghisan, G";"Meghisan-Toma, Georgeta-Madalina; Meghisan, Gheorghe";Main sources of Big Data for the companies
"Sun, ZH; Huo, YX";"Sun, Zhaohao; Huo, Yanxia";The Spectrum of Big Data Analytics
Yang, M;Yang, Ming;Research on the Construction of Enterprise E-commerce Cloud Platform Based on Big Data
"Bhardwaj, D; Ormandjieva, O";"Bhardwaj, Dave; Ormandjieva, Olga";Toward a Novel Measurement Framework for Big Data (MEGA)
"Bai, ZB; Bai, XM";"Bai, Zhongbo; Bai, Xiaomei";Sports Big Data: Management, Analysis, Applications, and Challenges
Holwerda, JA;Holwerda, Jacob A.;Big data? Big deal: Searching for big data's performance effects in HR
"Bhardwaj, DD; Ormandjieva, OO";"Bhardwaj, Dave Db; Ormandjieva, Olga Oo";Rigorous Measurement Model for Validity of Big Data: MEGA Approach
"He, WN; Wang, YF; Xia, DL";"He, Weina; Wang, Yafei; Xia, Dongliang";Fuzzy Integration Algorithm of Big Data in Peer-to-Peer Communication Network Based on Deep Learning
"Cuzzocrea, A; Damiani, E";"Cuzzocrea, Alfredo; Damiani, Ernesto";Privacy-Preserving Big Data Exchange: Models, Issues, Future Research Directions
"Jantavongso, S; Fusiripong, P";"Jantavongso, Suttisak; Fusiripong, Prashaya";Ethics, big social data, data sharing, and attitude among the millennial generation: A case of Thailand
Yu, XL;Yu, Xiaolan;The three legal dimensions of China's big data governance
Alnoukari, M;Alnoukari, Mouhib;A framework for big data integration within the strategic management process based on a balanced scorecard methodology
